# SPDX-License-Identifier: GPL-2.0-only
# Source inventory verified byte-identical against Linux v7.1.5; originally generated with Universal Ctags 6.2.1 from e8efe09d4f378992c890d181d65e2ed8d8cb1194.
# source	line	kind	linux_item	rust_item	status	verification
drivers/net/wireless/mediatek/mt76/dma.h	63	macro	Q_WRITE	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	75	macro	Q_READ	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	93	macro	Q_WRITE	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	111	macro	Q_READ	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	112	macro	Q_WRITE	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	116	struct	mt76_desc	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	117	member	buf0	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	118	member	ctrl	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	119	member	buf1	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	120	member	info	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	121	variable	__aligned	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	123	struct	mt76_wed_rro_desc	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	124	member	buf0	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	125	member	buf1	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	126	variable	__aligned	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	129	macro	RRO_RXDMAD_DATA1_LS_MASK	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	130	macro	RRO_RXDMAD_DATA1_SDL0_MASK	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	132	macro	RRO_RXDMAD_DATA2_RX_TOKEN_ID_MASK	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	133	macro	RRO_RXDMAD_DATA2_IND_REASON_MASK	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	135	macro	RRO_RXDMAD_DATA3_MAGIC_CNT_MASK	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	136	struct	mt76_rro_rxdmad_c	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	137	member	data0	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	138	member	data1	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	139	member	data2	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	140	member	data3	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	143	enum	mt76_qsel	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	144	enumerator	MT_QSEL_MGMT	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	145	enumerator	MT_QSEL_HCCA	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	146	enumerator	MT_QSEL_EDCA	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	147	enumerator	MT_QSEL_EDCA_2	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	150	enum	mt76_mcu_evt_type	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	151	enumerator	EVT_CMD_DONE	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	152	enumerator	EVT_CMD_ERROR	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	153	enumerator	EVT_CMD_RETRY	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	154	enumerator	EVT_EVENT_PWR_RSP	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	155	enumerator	EVT_EVENT_WOW_RSP	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	156	enumerator	EVT_EVENT_CARRIER_DETECT_RSP	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	157	enumerator	EVT_EVENT_DFS_DETECT_RSP	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	160	enum	mt76_dma_wed_ind_reason	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	161	enumerator	MT_DMA_WED_IND_REASON_NORMAL	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	162	enumerator	MT_DMA_WED_IND_REASON_REPEAT	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	163	enumerator	MT_DMA_WED_IND_REASON_OLDPKT	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	166	prototype	mt76_dma_rx_poll	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	167	prototype	mt76_dma_attach	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	168	prototype	mt76_dma_cleanup	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	169	prototype	mt76_dma_rx_fill	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	171	prototype	mt76_dma_queue_reset	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	175	function	mt76_dma_reset_tx_queue	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	185	function	mt76_dma_should_drop_buf	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	207	function	mt76_priv	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mcu.c	9	function	__mt76_mcu_msg_alloc	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mcu.c	30	prototype	EXPORT_SYMBOL_GPL	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mcu.c	32	function	mt76_mcu_get_response	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mcu.c	47	prototype	EXPORT_SYMBOL_GPL	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mcu.c	49	function	mt76_mcu_rx_event	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mcu.c	54	prototype	EXPORT_SYMBOL_GPL	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mcu.c	56	function	mt76_mcu_send_and_get_msg	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mcu.c	70	prototype	EXPORT_SYMBOL_GPL	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mcu.c	72	function	mt76_mcu_skb_send_and_get_msg	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mcu.c	136	prototype	EXPORT_SYMBOL_GPL	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mcu.c	138	function	__mt76_mcu_send_firmware	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mcu.c	161	prototype	EXPORT_SYMBOL_GPL	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mmio.c	10	function	mt76_mmio_rr	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mmio.c	20	function	mt76_mmio_wr	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mmio.c	26	function	mt76_mmio_rmw	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mmio.c	33	function	mt76_mmio_write_copy	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mmio.c	43	function	mt76_mmio_read_copy	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mmio.c	53	function	mt76_mmio_wr_rp	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mmio.c	65	function	mt76_mmio_rd_rp	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mmio.c	77	function	mt76_set_irq_mask	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mmio.c	94	prototype	EXPORT_SYMBOL_GPL	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mmio.c	96	function	mt76_mmio_init	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mmio.c	114	prototype	EXPORT_SYMBOL_GPL	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	7	macro	__MT76_H	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	23	macro	MT_MCU_RING_SIZE	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	24	macro	MT_RX_BUF_SIZE	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	25	macro	MT_SKB_HEAD_LEN	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	27	macro	MT_MAX_NON_AQL_PKT	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	28	macro	MT_TXQ_FREE_THR	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	30	macro	MT76_TOKEN_FREE_THR	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	32	macro	MT_QFLAG_WED_RING	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	33	macro	MT_QFLAG_WED_TYPE	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	34	macro	MT_QFLAG_WED	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	35	macro	MT_QFLAG_WED_RRO	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	36	macro	MT_QFLAG_WED_RRO_EN	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	37	macro	MT_QFLAG_EMI_EN	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	38	macro	MT_QFLAG_NPU	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	40	macro	__MT_WED_Q	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	43	macro	__MT_WED_RRO_Q	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	45	macro	MT_WED_Q_TX	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	46	macro	MT_WED_Q_RX	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	47	macro	MT_WED_Q_TXFREE	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	48	macro	MT_WED_RRO_Q_DATA	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	49	macro	MT_WED_RRO_Q_MSDU_PG	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	50	macro	MT_WED_RRO_Q_IND	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	51	macro	MT_WED_RRO_Q_RXDMAD_C	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	53	macro	__MT_NPU_Q	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	56	macro	MT_NPU_Q_TX	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	57	macro	MT_NPU_Q_RX	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	58	macro	MT_NPU_Q_TXFREE	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	68	struct	mt76_reg_pair	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	69	member	reg	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	70	member	value	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	73	enum	mt76_bus_type	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	74	enumerator	MT76_BUS_MMIO	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	75	enumerator	MT76_BUS_USB	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	76	enumerator	MT76_BUS_SDIO	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	79	enum	mt76_wed_type	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	80	enumerator	MT76_WED_Q_TX	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	81	enumerator	MT76_WED_Q_TXFREE	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	82	enumerator	MT76_WED_Q_RX	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	83	enumerator	MT76_WED_RRO_Q_DATA	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	84	enumerator	MT76_WED_RRO_Q_MSDU_PG	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	85	enumerator	MT76_WED_RRO_Q_IND	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	86	enumerator	MT76_WED_RRO_Q_RXDMAD_C	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	89	enum	mt76_hwrro_mode	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	90	enumerator	MT76_HWRRO_OFF	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	91	enumerator	MT76_HWRRO_V3	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	92	enumerator	MT76_HWRRO_V3_1	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	95	struct	mt76_bus_ops	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	96	member	rr	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	97	member	wr	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	98	member	rmw	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	99	member	write_copy	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	101	member	read_copy	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	103	member	wr_rp	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	105	member	rd_rp	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	107	member	type	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	110	macro	mt76_is_usb	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	111	macro	mt76_is_mmio	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	112	macro	mt76_is_sdio	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	114	enum	mt76_txq_id	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	115	enumerator	MT_TXQ_VO	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	116	enumerator	MT_TXQ_VI	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	117	enumerator	MT_TXQ_BE	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	118	enumerator	MT_TXQ_BK	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	119	enumerator	MT_TXQ_PSD	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	120	enumerator	MT_TXQ_BEACON	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	121	enumerator	MT_TXQ_CAB	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	122	enumerator	__MT_TXQ_MAX	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	125	enum	mt76_mcuq_id	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	126	enumerator	MT_MCUQ_WM	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	127	enumerator	MT_MCUQ_WA	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	128	enumerator	MT_MCUQ_FWDL	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	129	enumerator	__MT_MCUQ_MAX	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	132	enum	mt76_rxq_id	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	133	enumerator	MT_RXQ_MAIN	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	134	enumerator	MT_RXQ_MCU	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	135	enumerator	MT_RXQ_MCU_WA	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	136	enumerator	MT_RXQ_BAND1	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	137	enumerator	MT_RXQ_BAND1_WA	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	138	enumerator	MT_RXQ_MAIN_WA	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	139	enumerator	MT_RXQ_BAND2	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	140	enumerator	MT_RXQ_BAND2_WA	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	141	enumerator	MT_RXQ_RRO_BAND0	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	142	enumerator	MT_RXQ_RRO_BAND1	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	143	enumerator	MT_RXQ_RRO_BAND2	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	144	enumerator	MT_RXQ_MSDU_PAGE_BAND0	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	145	enumerator	MT_RXQ_MSDU_PAGE_BAND1	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	146	enumerator	MT_RXQ_MSDU_PAGE_BAND2	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	147	enumerator	MT_RXQ_TXFREE_BAND0	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	148	enumerator	MT_RXQ_TXFREE_BAND1	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	149	enumerator	MT_RXQ_TXFREE_BAND2	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	150	enumerator	MT_RXQ_RRO_IND	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	151	enumerator	MT_RXQ_RRO_RXDMAD_C	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	152	enumerator	MT_RXQ_NPU0	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	153	enumerator	MT_RXQ_NPU1	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	154	enumerator	__MT_RXQ_MAX	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	157	enum	mt76_band_id	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	158	enumerator	MT_BAND0	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	159	enumerator	MT_BAND1	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	160	enumerator	MT_BAND2	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	161	enumerator	__MT_MAX_BAND	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	164	enum	mt76_cipher_type	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	165	enumerator	MT_CIPHER_NONE	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	166	enumerator	MT_CIPHER_WEP40	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	167	enumerator	MT_CIPHER_TKIP	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	168	enumerator	MT_CIPHER_TKIP_NO_MIC	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	169	enumerator	MT_CIPHER_AES_CCMP	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	170	enumerator	MT_CIPHER_WEP104	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	171	enumerator	MT_CIPHER_BIP_CMAC_128	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	172	enumerator	MT_CIPHER_WEP128	-	unmapped	-
drivers/net/wireless/mediatek/mt76/mt76.h	173	enumerator	MT_CIPHER_WAPI	-	unmapped	-
